rateContent,package,quality,price,service,logistics,other,sentiment
茶叶不错,0.0,1.0,0.0,0.0,0.0,0.0,0.0
卖家发货非常快，茶叶也非常好，客服服务很周到，非常感谢客服。,0.0,1.0,0.0,1.0,0.0,0.0,0.0
打开后一股春天清新的味道扑面而来，是今年的新茶。性价比高。会再来的。,0.0,1.0,1.0,0.0,0.0,0.0,0.0
一如既往的支持,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶有点碎。。。,0.0,1.0,0.0,0.0,0.0,0.0,1.0
我不懂茶叶，买给父母的，他们觉得还好。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶味道很好。包装也很精致。比商场价格低很多，开始还有点担心，收到货后发现超值。味道比买的精装的还正。~ 客服态度也很好。~~~~PS：包装很精致，送人也很上档次哈。,1.0,1.0,1.0,1.0,0.0,0.0,0.0
给爸爸买的( ??&omega;?? )蛮小一包 不知道好不好喝 回去给爸爸(? ??_??)?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
感觉里面有陈茶，味道还可以。,0.0,1.0,0.0,0.0,0.0,0.0,1.0
卖家的商品与描述的一搬了，价格也不算优惠了，俺拍了2件，送了个罐子还掉漆了，并且有非常大的油漆味道，能装茶叶吗？贵店是大品牌呀，不应搞这样的。请问店家？俺是准正点拍的，更本就没有买一送一呀，咋回事吗？送不送无所谓了。茶香气较重。 服务一搬了，物流快，服务好。,0.0,1.0,1.0,0.0,0.0,1.0,1.0
很满意，很好的茶叶。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
说实话，茶叶很一般，3泡以后寡而无味，茶叶碎叶不少。唯一就是份量足，自喝算了，待客差了很多。,0.0,1.0,0.0,1.0,0.0,0.0,1.0
很满意，不愧是品牌的！以后还会来的！,0.0,0.0,0.0,0.0,0.0,1.0,0.0
包装很好，豪华大气上档次，不知道味道怎么样？,1.0,0.0,0.0,0.0,0.0,0.0,0.0
老顾客不多说,0.0,0.0,0.0,0.0,0.0,0.0,0.0
第二次买了，挺好的，划算！,0.0,0.0,1.0,0.0,0.0,0.0,0.0
不错！一直买他们家的茶叶的。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
味道不错,0.0,1.0,0.0,0.0,0.0,0.0,0.0
香味浓郁扑鼻，实是好茶,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一直信赖这个品牌。包装仔细，质量也好。性价比高,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶包装很严实，很漂亮，茶叶味道很好，颜色也很好，泡上很快就出香味，很喜欢，送礼很不错，下次还会再来购买的 卖家服务态度号,1.0,1.0,0.0,1.0,0.0,0.0,0.0
卢正浩的茶一直不错，这次也好，说了有点碎在接受范围内，果然如此，小茶人旗灵，非常不错，说没茶叶罐了，让他带个过来，就一起过来了，五星好评,0.0,1.0,0.0,1.0,0.0,0.0,1.0
一直买这家的绿茶，很好。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
全五分，推荐购买。 好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
买了很多家得新茶，这家茶叶很多茶梗，比起其他家的还很多具体哪家我就不说了,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5分,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶色很好，味道还行，,0.0,1.0,0.0,0.0,0.0,0.0,0.0
还没喝，但是从包装来看很不错，满意，等喝了再评价,1.0,0.0,0.0,0.0,0.0,0.0,0.0
物流好快，多次购买，好评!,0.0,0.0,0.0,0.0,1.0,0.0,0.0
茶叶礼盒很高端，很棒，白琳服务更棒。,0.0,0.0,0.0,1.0,0.0,1.0,0.0
茶叶很好，闻起来很香~应该是新茶,0.0,1.0,0.0,0.0,0.0,0.0,0.0
快递神速啊，真是惊喜。感觉不错。感谢客服&ldquo;红袍&rdquo;的耐心亲切的服务。,0.0,0.0,0.0,1.0,1.0,0.0,0.0
东西很好，味比较正。以后还会在来,0.0,1.0,0.0,0.0,0.0,0.0,0.0
茶非常好。物超所值。满分。包装完美。送的水晶玻璃杯也非常棒。客服白琳热情好客赞一个。,1.0,1.0,0.0,1.0,0.0,0.0,0.0
不错！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很不错 物美价廉 好评,0.0,0.0,1.0,0.0,0.0,0.0,0.0
收到后就出去了，，不过看包装就很满意了，，，,1.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶不错，就是有点小关，东西正中的下次还想买，最好在优惠点，哈哈_,0.0,1.0,1.0,0.0,0.0,0.0,1.0
好评,0.0,0.0,0.0,0.0,0.0,0.0,0.0
这次的还没喝，喝了再追评！不过卢正浩的茶性价比还是挺高的。 不错,0.0,0.0,0.0,0.0,0.0,1.0,0.0
老客户了，好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不错。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶还可以，但是三四泡后味道就淡了，送的小壶也有瑕疵！！！特别感谢客服贡羽，很细心也很耐心！,0.0,1.0,0.0,1.0,0.0,1.0,1.0
茶叶挺不错的， 收到货就迫不及待的喝了，香味十足，是值得购买的一款宝贝。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
冲着&ldquo;正浩&rdquo;的品牌买来送朋友的，因为是大包装无法打开看看。但还是给好评！建议老板能加一小袋同款茶叶，以便买家品鉴。,0.0,0.0,0.0,0.0,0.0,1.0,0.0
买了好多次，挺不错的,0.0,0.0,0.0,0.0,0.0,0.0,0.0
前两个月买的99元一包喝着不错挺香的，双十一搞活动59一包就买了两包今天收到货喝着怎么没有一点味道呢？？不会是搞活动呢价格便宜了茶叶质量也变了吧,0.0,1.0,1.0,0.0,0.0,0.0,1.0
茶好。服务更好，大牌值得信任 贴心服务，爽心购物,0.0,1.0,0.0,1.0,0.0,0.0,0.0
好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一大包，包装很喜欢,1.0,0.0,0.0,0.0,0.0,0.0,0.0
壶和小杯子的包装太薄，易碎。,1.0,0.0,0.0,0.0,0.0,0.0,1.0
茶叶不错，就是铁盒外面居然是贴纸，有点掉价。,1.0,1.0,0.0,0.0,0.0,0.0,1.0
打开茶泡就闻到了龙井的香味，泡了一杯，味道正宗~,0.0,1.0,0.0,0.0,0.0,0.0,0.0
老顾客了，茶叶不错，家人很喜欢，全5分好评！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
很不错，很新鲜，味道也可以。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
茶叶品质不错，价格合理，适合大众消费。 好,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"断茶节果断入手,龙井离不开卢正浩。",0.0,0.0,0.0,0.0,0.0,0.0,0.0
挺好的！对的起这个价格了。,0.0,1.0,1.0,0.0,0.0,0.0,0.0
卢正浩西湖龙井茶，茶叶味道还可以，快递挺快，好评。,0.0,1.0,0.0,0.0,1.0,1.0,0.0
还行吧，但不感158时香，可能店主把价降了质量也降了!!!!,0.0,1.0,1.0,0.0,0.0,0.0,1.0
很满意，物流也很快,0.0,0.0,0.0,0.0,1.0,0.0,0.0
茶叶不错，应该是对得起这个价格，多次购买一直都是物有所值，下次有活动还是要买的，,0.0,0.0,1.0,0.0,0.0,0.0,0.0
多次购买了，茶叶不错，这次淘抢购又买了2包。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶不错，包装也很仔细，新茶出来前过度一下不错,1.0,1.0,0.0,0.0,0.0,0.0,0.0
货真价实,0.0,0.0,1.0,0.0,0.0,0.0,0.0
东西还行，2015年的茶了，等2016的新茶出来再来试试！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
很好喝的茶叶，清清淡淡的香,0.0,1.0,0.0,0.0,0.0,0.0,0.0
宝贝收到了，闻起来很香，喝起来口感很好，清香。我喜欢?是2015年的茶叶,0.0,1.0,0.0,0.0,0.0,0.0,0.0
确实不错！一杯清茶，交个朋友???,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶很香，还送了个瓷杯,0.0,1.0,0.0,1.0,0.0,0.0,0.0
快递很不错，包装很好，暂时没喝，好喝再来。,1.0,0.0,0.0,0.0,1.0,0.0,0.0
还算可以，味道淡，泡第三杯就已经感觉不到味道了。,0.0,1.0,0.0,0.0,0.0,1.0,1.0
茶味醇厚，满意。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
这次茶比较新，色正。 不错，发货很快。,0.0,1.0,0.0,1.0,0.0,0.0,0.0
还可以，喝着，挺自然,0.0,1.0,0.0,0.0,0.0,0.0,0.0
很满意的一次购物，以后就你家的龙井茶了。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很好喝 很喜欢 下次继续买 好,0.0,1.0,0.0,0.0,0.0,0.0,0.0
第二次购买了，三级里面算不错，会再来,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不错，还有赠品,0.0,0.0,0.0,0.0,0.0,1.0,0.0
买好几次了，还是一样好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
老客户，茶好，快递也不错。,0.0,1.0,0.0,0.0,1.0,0.0,0.0
茶收到也喝了感觉一般还没有108的好喝,0.0,1.0,1.0,0.0,0.0,0.0,1.0
茶叶不错，下次还会再来买,0.0,0.0,0.0,0.0,0.0,0.0,0.0
绿茶一直用他家，每次活动都会买，店大不欺客，口感确实不错。,0.0,1.0,0.0,0.0,0.0,1.0,0.0
不好意思收货当天出远门差点忘了东西很好虽然还没喝看包装还不错,1.0,0.0,0.0,0.0,0.0,0.0,0.0
多的也不说了，货真价实。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶很好，已经多次购买了！值得推荐！送的礼物品质也很不错！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
茶叶很棒啊，味道很清香，有豆香味，茶汤也很透亮,0.0,1.0,0.0,0.0,0.0,0.0,0.0
茶叶口感很好，香气、滋味均属上乘。是新茶。很好喝 很满意。再来！！！ 很好,0.0,1.0,0.0,0.0,0.0,0.0,0.0
还没喝看着还不错,0.0,0.0,0.0,0.0,0.0,1.0,0.0
是一个有历史的品牌。茶非常好，正宗。发货很快，店家服务也很好。,0.0,1.0,0.0,1.0,0.0,1.0,0.0
老顾客啦，自己喝还可以的。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶汤还可以，蛮香。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
店主服务态度好，快递速度快 一般,0.0,0.0,0.0,1.0,1.0,0.0,0.0
以这么低的价格可以体验到龙井茶，挺满意的。,0.0,0.0,1.0,0.0,0.0,1.0,0.0
茶挺好的，我也是老客户啦！唉，希望他们能一直保持品质就可以了。,0.0,1.0,0.0,0.0,0.0,1.0,0.0
大牌子，包装挺上档次！盒子小点！,1.0,0.0,0.0,0.0,0.0,0.0,1.0
茶叶的包装非常精美，冲泡过后感觉清香浓郁，口感很好，是新茶。色泽和形状都很不错的。 卖家服务非常有耐心,1.0,1.0,0.0,1.0,0.0,0.0,0.0
刚收到晚上回家试过口感追加评论,0.0,0.0,0.0,0.0,0.0,0.0,1.0
买了送人，还没开封,0.0,0.0,0.0,0.0,0.0,0.0,1.0
茶叶包装很精致，非常好，里面还有精美小拎袋，太好了！,1.0,0.0,0.0,0.0,0.0,1.0,0.0
茶叶质量很好的，口感很不错，是新茶，味道很好闻，清香的。很不错，很满意。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
还不错 送人的 朋友表示挺好喝的,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一直买你家的，满意,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶我很喜欢！包装超级好 服务好！发货快！,1.0,0.0,0.0,1.0,0.0,0.0,0.0
此茶香气十足，入口先苦后甘。总体不错！,0.0,1.0,0.0,0.0,0.0,0.0,0.0
双十一买的，还没有喝，很值得购买5分好评,0.0,0.0,0.0,0.0,0.0,1.0,0.0
应该不是新茶,0.0,1.0,0.0,0.0,0.0,0.0,1.0
茶叶一般般.,0.0,1.0,0.0,0.0,0.0,0.0,1.0
茶叶的质量可以，泡了一杯感觉口感好味清香；非常满意，有需要会继续光顾！ 卖家发货速度快,0.0,1.0,0.0,1.0,0.0,0.0,0.0
好...............................................................................,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不错，可以喝挺久,0.0,0.0,0.0,0.0,0.0,0.0,0.0
买了几次了，非常好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很香，好评,0.0,1.0,0.0,0.0,0.0,0.0,0.0
good～,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不错，挺好的,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶还可以，这个价位算不错的了,0.0,1.0,1.0,0.0,0.0,0.0,0.0
口感不错，跟老丈人买的，他品着说不错。以后常光顾。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
喝上了，我觉得味道很不错，甘甜,0.0,1.0,0.0,0.0,0.0,0.0,0.0
应该还不错吧，送人的,0.0,0.0,0.0,0.0,0.0,0.0,1.0
客服态度挺好的贡羽，不止买过一次了,0.0,0.0,0.0,1.0,0.0,0.0,0.0
不错 服务很好，还有赠品,0.0,0.0,0.0,1.0,0.0,0.0,0.0
已经在他家买好多好多啦！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一如既往的好！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
包装完整，送礼有面，卢正浩多次光顾，满意。顺风快递不是盖的，开心?,1.0,0.0,0.0,0.0,1.0,0.0,0.0
这款茶叶质量很好，喝起来味道很好，很清香我很喜欢，喝完下次再买。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
物美价廉,0.0,1.0,1.0,0.0,0.0,0.0,0.0
已经多次在这里购买茶叶了，茶叶口感不错，质量很好，而且在8.28奉茶节购买优惠力度很大，物有所值。,0.0,1.0,1.0,0.0,0.0,0.0,0.0
以前买的都是3级的口感感觉有点发淡，这次我买的是一级的口感还不错。买了多次也没给试用包,0.0,1.0,0.0,0.0,0.0,1.0,1.0
一般 还行吧,0.0,0.0,0.0,0.0,0.0,0.0,0.0
这款，连同DE包都一同买了些，对比下试试哪款能做为以后口粮茶，打算以后的就你家了 ，赶脚还是挺地道的,0.0,0.0,0.0,0.0,0.0,0.0,0.0
好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
东西不错，包装精美。店家服务也挺好。,1.0,1.0,0.0,1.0,0.0,0.0,0.0
包装专业，发货快，让人放心的品牌。茶叶回味悠长，爽口，是不可多得的好茶。,1.0,1.0,0.0,1.0,0.0,1.0,0.0
不错很好，多次购买。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
质量不错口味不错包装挺好很划算服务好气味不错品相不错,1.0,1.0,1.0,1.0,0.0,0.0,0.0
口感很好！叶片比较整齐，但有少于碎片，总的来说比较划算,0.0,1.0,1.0,0.0,0.0,0.0,1.0
旗灵好评,0.0,0.0,0.0,1.0,0.0,0.0,0.0
茶已收到，赠品也很喜欢，在聚划算买到的，确实便宜，茶还没喝，喝好追评,0.0,0.0,1.0,1.0,0.0,0.0,0.0
很好，很不错，买了以后才发现8月28号有活动，哎呀真不巧，不过茶很好啊！,0.0,1.0,1.0,0.0,0.0,0.0,1.0
不错，一直买,0.0,0.0,0.0,0.0,0.0,0.0,0.0
不好意思出差确认晚了，茶叶不错，对得起这个价格，送的杯子很喜欢，谢谢卖家，5分打赏,0.0,0.0,1.0,0.0,0.0,0.0,0.0
不错，这个价位的也算值了,0.0,0.0,1.0,0.0,0.0,0.0,0.0
很好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到货很长时间了，一直没有去拿，比较忙。今天拿来一看，包装不错，不知道味道怎么样，还没喝，给家里人买的，感觉应该差不了吧。毕竟是大牌子！,1.0,0.0,0.0,0.0,0.0,1.0,0.0
多次择机购买,0.0,0.0,0.0,0.0,0.0,1.0,0.0
第二次购买了，性价比还是有的，不错,0.0,0.0,1.0,0.0,0.0,0.0,0.0
不错，很好喝，这个价格的龙井茶很好~~~,0.0,1.0,1.0,0.0,0.0,0.0,0.0
茶叶很好哦，公婆都爱喝，赞一个,0.0,1.0,0.0,0.0,0.0,0.0,0.0
口感不错，茶型不太好看，大叶多尖少，有点碎的感觉，,0.0,1.0,0.0,0.0,0.0,0.0,1.0
货已收到，包装完好，已经是老顾客了。再次感谢客服贡雨，一直不厌其烦，耐心调解，直到双方达到共识。,1.0,0.0,0.0,1.0,0.0,0.0,0.0
茶叶很好，发货快，好评！,0.0,1.0,0.0,1.0,0.0,0.0,0.0
很好的宝贝，好喝不贵，全好评！,0.0,1.0,1.0,0.0,0.0,0.0,0.0
物有所值下次再来。,0.0,1.0,1.0,0.0,0.0,0.0,0.0
茶非常好，包装好，双十一拍的，物有所值，全五分,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"东西还行,感觉青叶不一定是本地的,这个价还对的起,给好评!杯子不错!",0.0,1.0,1.0,0.0,0.0,0.0,1.0
买了两次，两次都没有把电话印上快递单，收个快递折腾半天,0.0,0.0,0.0,0.0,1.0,0.0,1.0
品质还是一如既往的好!,0.0,1.0,0.0,0.0,0.0,0.0,0.0
喜欢卢正浩的宝贝 好,0.0,0.0,0.0,0.0,0.0,1.0,0.0
好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"味道不错,很香,价格适方式!豆味不大!",0.0,1.0,1.0,0.0,0.0,0.0,0.0
希望老板多搞降价促销活动，我们喜欢。,0.0,0.0,0.0,0.0,0.0,0.0,1.0
第N次买了，不用再夸了吧，不好哪会来这么多次！,0.0,0.0,0.0,0.0,0.0,0.0,0.0
很好，一如既往的好。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优物美价廉服务优,0.0,1.0,1.0,0.0,1.0,0.0,0.0
味道清淡、不错、值得购买、细节需要提高,0.0,1.0,0.0,0.0,0.0,1.0,1.0
第二次购买了，茶叶很好，包装精致，谢谢老板的礼品，推荐购买,0.0,1.0,0.0,1.0,0.0,0.0,0.0
包装漂亮很好，还送了一个密封口袋用的夹子，非常有用。本人不是怎么懂茶，泡了一杯，淡淡的茶香，碎叶较多，也有小嫩叶，口感还可以。 发货送货都快。,1.0,1.0,0.0,1.0,1.0,0.0,0.0
香味浓郁，口感不错,0.0,1.0,0.0,0.0,0.0,0.0,0.0
还可以 挺合适,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶口味感觉一般化,0.0,1.0,0.0,0.0,0.0,0.0,0.0
包装不错！,1.0,0.0,0.0,0.0,0.0,0.0,0.0
挺好的茶,0.0,1.0,0.0,0.0,0.0,0.0,0.0
收到就品尝了，口感很好，是我喜欢的味道，物美价廉,0.0,1.0,1.0,0.0,0.0,0.0,0.0
杯子和壶都好迷你啊，可爱哦！茶还没喝，期待,0.0,0.0,0.0,0.0,0.0,1.0,1.0
不错，就快递太慢了！都要疯了,0.0,0.0,0.0,0.0,1.0,0.0,1.0
作为三级来说碎末并不多，冲泡开来清香浓郁，喝过满口留香，香气赞！茶汤是黄绿色，口感较淡，性价比高。,0.0,1.0,1.0,0.0,0.0,1.0,0.0
还不错。挺好喝的。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
老爸说挺好的,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一级茶,0.0,0.0,0.0,0.0,0.0,1.0,0.0
东西不错，口感好。,0.0,1.0,0.0,0.0,0.0,0.0,0.0
质量还行，价格便宜，发货快。拍下后不久就接到骗子的电话。订单信息是如何泄露的？,0.0,1.0,1.0,1.0,0.0,1.0,1.0
第二次买了 爸爸说好喝 不过这次那个快递员可能是听不懂人话,0.0,1.0,0.0,0.0,1.0,0.0,1.0
一直都喝这家的茶叶 好,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收货晚了，不好意思，给妈妈买的，应该不错,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已是第二次购买了,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶太好了，刚收到就喝了，又下单了再买两份l,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一直买的是！味道很好！值得购买,0.0,1.0,0.0,0.0,0.0,0.0,0.0
第一次买龙井，朋友推荐的，很好，很香，,0.0,0.0,0.0,0.0,0.0,0.0,0.0
买过三次了，不错。,0.0,0.0,0.0,0.0,0.0,0.0,0.0
茶叶很好，自己喝是一种享受，送礼也很有面子，比在实体店便宜太多了！ 服务很好，很专业,0.0,1.0,1.0,0.0,0.0,0.0,0.0
总之一分钱一分货。品牌的茶叶质量还是有保证的，你也别指望便宜的价格能淘到很好的茶叶！,0.0,1.0,1.0,0.0,0.0,0.0,0.0
盒子里就只有茶叶，一点没有大店的正规感，旅游时在杭州买的龙井茶，一起喝喝看看性价比怎么样,0.0,0.0,0.0,0.0,0.0,1.0,1.0
比较良心卖家,0.0,0.0,0.0,0.0,0.0,1.0,0.0
