	sentiment	rateContent
99	0	茶客一名，自从喝了这家的龙井就一发不可收拾，今年买了很多送给家人朋友，感谢茶人&ldquo;旗灵&rdquo;及客服&ldquo;小虎&rdquo;，耐心的落实赠品问题，上传赠送的&ldquo;尝鲜包龙井&rdquo;，让你不出家门尝遍各种等级的龙井茶，并找出适合自己的口味，一如既往地支持！
100	0	喝了一次，味道不错！有些淡淡的的馨香。
101	1	本以为是今年的宝宝，不料却是去年十二月份的哦。
102	0	茶叶还不错，是今年新茶。茶叶外形有些影响品相，味道还蛮清香的。金罐50克的口感明显好于其他两个品种，价格也蛮可以滴。发货还是蛮快的。谢谢送的杯子，希望多搞活动哈
103	0	自己喝了，口感不错
104	1	先好评，看到了再来追加
105	0	茶叶很好！追加的第二份！但愿一往如此！！ 满意
106	0	对得起这个价格
107	0	茶叶不错，买了很多次了
108	1	昨天收到货沏了一杯感觉茶叶一般，优惠价格买的便宜吗也就值这个价格，作为喝茶的常客应该买贵（好）一些的。
109	0	还没泡，应该蛮好的
110	0	很好
111	1	茶叶一般，嫩芽不多，杆子长，叶片不够匀净，颜色也偏深。相对于这个价格嘛，也就这样了。随便喝喝，还是实惠的。
112	0	好，速度快！
113	0	还不错
114	0	非常好，第二次购买了，以后还会继续光顾的
115	0	大牌！！！常买这家！！！ 服务好！！！
116	0	茶叶很不错，谢谢店家
117	0	这是猴魁的照片，龙井的晚上回家泡壶在晒。 周五下午收到就好了，可以放冰箱保存。
118	1	一般，相对比来说，价格贵了，客服态度不错
119	0	发货快！茶叶不错，还收到很多赠品！
120	0	好茶,多次购买了。 发货及时，物流很快。
121	1	茶叶还没喝送的荼具挺好，就是杯子只有两个，要是四个就好了。物浇挺快三天就到了
122	1	茶不错，挺香的，就是包装不怎么好，换成铁盒子就好了，
123	0	好 非常满意 值得购买
124	0	正品，发货及时，服务热情，好评。
125	0	好
126	0	中规中矩吧
127	1	这个价格还不错，茶叶比较碎，但是听嫩的，这个价格还是不错的
128	0	店家很不错，先发的茶，漏了茶具礼物，提醒之后马上补发了，非常有诚信，赞一个。 非常好。
129	0	挺不错的，好评
130	0	多次购买了，老公喜欢喝这家的茶
131	0	好
132	1	茶叶说不上很好，可惜没有送杯子，茶叶比另外一家的99元250克的要好点，
133	0	自己是第三次购买了，一如既往的好评！保温杯确实不错。
134	0	还不错 茶汤清 味清香
135	0	老顾客了。
136	1	感觉不错 还没打开
137	0	很香！味道不错！口感好！
138	0	口感不错，茶香是我喜欢的，还会再买。
139	0	老客户了，每年都来买新茶，汤水清，口感好，好评
140	0	购买了多次了，一如既往的好，谢谢店家的礼物。
141	0	茶叶还可以啊
142	0	感谢，活动价抢到的，永远支持卢家茶
143	1	味道还行，就是碎沫沫有点多，品相不好，有点遗憾。7号发货，11号才到广州，物流申通真心不行。另外，为何两包就给一个夹子？这不合理吧？！
144	0	好喝。
145	0	已经是多次购买了，买来送爸爸，当作父亲节的礼物。6月6活动买的，现在已经涨钱了，买到就赚到了。
146	0	每年都会买这个卢家的龙井。今年的特别清新   ，很好喝。有^_^
147	0	之前买过，应该不会差。过年放假，暂时未试，再追加
148	0	茶还可以，留言要开票，还没有发票！
149	1	茶叶泡着不像新茶
150	0	不错
151	1	第一泡非常好清香扑鼻回味无穷，第二泡基本没味道！ 直接拍的，没沟通！
152	0	应该可以吧，包装不错
153	0	茶叶口感好 包装好 物流快 五分 好
154	0	可以，比较清，谢谢送的礼物
155	0	好评
156	0	非常好，值得拥有
157	0	基本上还可以，比外面同质的茶叶便宜。
158	0	老客户，特别好！谢谢！
159	0	非常棒 是新茶 芽叶厚 味道口感柔和 棒
160	0	多次购买，上次那罐茶叶碎片多，但味道和以前一样。 服务good！
161	0	口感不错，发货也快速度，服务质量棒棒哒
162	0	第二次买了！
163	0	质价均优，发货及时。好评。
164	0	茶叶不错哦。
165	0	茶叶很香，茶色也很好，物流蛮给力的，可以长期购买，期待更好的茶。
166	0	不错，不论包装，成色，口味，都是极佳的选择
167	1	好满的一盒，一用力开盖洒了一些
168	0	还没喝&hellip;&hellip;服务态度很好。
169	0	很划算，很便宜，一如既往的好，支持
170	0	多次购买，口感纯正
171	0	还没喝，看着店家包装精美，还细心送了洗杯子的的刷子， 就先好评喽！
172	0	双十一帮爸爸拍的 应该棒棒哒
173	0	第二次购买了，满意。 快递速度快
174	1	发的顺丰，里面茶叶丢了，很郁闷，最后才给解决
175	0	老公喜欢
176	0	好茶，我爸说好喝
177	0	不错?下次再来
178	1	还没喝，不知味道怎么样，先好评
179	0	包装不错，送人的，不知道茶怎么样
180	0	茶叶很好 壶很漂亮 谢谢 南无阿弥陀佛
181	0	不好意思出差确认晚了，茶叶不错，对得起这个价格，送的杯子很喜欢，谢谢卖家，5分打赏
182	0	mx31 很满意
183	0	包装很好，很仔细，茶还没喝，看着应该不错，好评！
184	0	很好喝，妈妈很爱喝 很好
185	0	好好好，还可以的
186	0	非常满意，客服也很热情
187	0	茶叶很棒/喝完在来
188	0	好评
189	0	不错，值得信赖
190	0	老顾客了，很好，发货速度，货真价实
191	0	茶叶很好，，龙井买这个牌子的没错。。以后就来这家店买龙井。。赞一个，，全五分。。。。
192	0	这茶不好看，但是好喝，自己喝绝对可以了
193	0	出差刚回来，没有及时确认请见谅，茶叶香味不错，等级与价格及活动基本匹配。没有意见，很好！ 很好！
194	0	东西很不错，物流也很快，非常喜欢！
195	0	还不错
196	0	茶叶的包装很好 茶叶质量也不错的 泡起来香气扑鼻 味道很好闻 客服的服务也很不错 总之 非常满意的一次购物经历 服务杠杠的。
197	1	味道淡！还不如以前买的便宜的一款。唉。
198	0	是咱们家的老顾客了，春季就买了这款茶叶，现在正好促销，力度非常大，感谢店家呢。宝贝还是一如既往的好，包装精美，古香古色。香味浓郁，非常符合我的口味 物流迅速，售前咨询态度热情，非常好，赞一个
199	0	第二次买了，送给老爸喝的。
200	1	送人的，真不容易，赶在中秋节前收到了！物流太不给力！包装不错！
201	0	茶叶口感很好，满意
202	0	茶叶不错，可以说物美价廉的，值得购买。
203	1	一级的没有特级的香，一分价钱一分货
204	0	发货速度快，包装很好，茶的味道很好，叶子很大，不错。
205	1	因颜色、外观有异议联系客服，客服说雨前茶就该这样。态度很好，物流也快，好评。
206	0	茶叶味道不错，有浓浓的茶香，继续关注
207	0	包装不错，送朋友的，好评。
208	1	茶香很不错~回甘不明显~
209	0	刚才打开着了纯天然的绿色产品！价廉物美！
210	0	口感不错，价钱实惠
211	0	就是发货有点慢~虽然也不急了，喝着挺好
212	0	发货迅速，第二天就到了，买了D包和E包，打开包装后就闻到茶叶的清香。宝贝一直很好，老顾客了。谢谢赠品！
213	0	不错，是我喜欢的味
214	0	新茶口感很不错，好喝。以后还会买～
215	0	很好的卖家，值得信赖，喜欢卢家的茶！ 很好的卖家！
216	1	企待多搞活动！
217	0	双十一节一直关注卢正浩西湖正宗龙井茶，终于抢拍一张优惠券，才能赚到壹罐平价卢正浩西湖龙井茶！
218	0	一如既往的好
219	0	不错，发货快，份量足
220	0	茶叶收到，质量不错，值得购买 很好
221	0	东西收到了，朋友介绍来买的，还不错的
222	0	不错，很香，很清爽
223	0	这是第3次买他家的茶叶了 真的很不错
224	0	茶叶闻着非常的香 喝着也很好喝 卖家包装的也很好 价格更是实惠 还会再来的
225	1	喝起来感觉不错，就是断碎茶叶稍微多了一点，希望越做越好，5分好评
226	1	一打开，浓浓的茶香。宝贝的炒工、成型不错。外观挺诱人，头开香醇浓郁，二开明显淡化、仅剩余味似的。但包装精美、传统，很有怀旧感。给五分好评，
227	0	性价比高
228	0	二次购买，家人都说好 好评
229	0	东西不错，包装精美，茶叶味道好！
230	0	茶还可以！
231	0	今天得空查看了该茶叶，品相不错，叶子完整没有碎叶，且有一股清香扑鼻，用80度左右的过滤水泡上一杯后，感到汤色不错，味道醇厚，抿上一口顿觉齿颊留香。非常好的茶叶，物有所值。给5分评价。
232	0	太喜欢宝贝啦！和宝贝详情描述的一样~真心觉得十分满意！以后有需要还会光顾的~
233	0	行，对得起这价钱，说得过去
234	0	很不错的一款茶，以前每次出差都要到店里去买点茶
235	0	是新茶，较好。
236	0	货，已收到，已经品尝，味道还可以。
237	0	买了N次了，一如既往的好
238	0	已经多次购买了，值得信赖的品牌。 和谐的服务
239	0	送人的，感觉还不错
240	1	不知道怎么说，感觉一般吧
241	0	非常好喝，卖家态度特别好
242	0	一直挺喜欢这款，还没拆，相信会一如既往地好。
243	0	味道浓郁 ，物美价廉
244	0	很好。多次购买 全5
245	0	好茶叶，值得品尝。
246	1	习惯好评
247	0	茶叶品相一般。自己喝，比较实惠。
248	0	还可以吧
249	0	n次买了，是个好卖家，再送杯子，每次喝茶让你念念不忘，这就是做生意的决巧，再配上性价比较高的茶叶，让你喝完了第一个想到他卢正浩，全五分！
250	0	茶叶很好，
251	1	等了五天茶叶终于来了。用矿泉水冲泡的90度的水温，汤色非常清亮，干茶挑拣非常讲究，叶片也是很完整的。味道就是特别甘醇，不愧是老茶树。雨前二级茶叶这样的水准真是很棒了，可以说茶叶正，性价比也非常高！不多说上图看。
252	0	就那样！办公室喝喝！
253	0	和描述的一样
254	0	第二次购买卢正浩的茶了，挺不错的。
255	1	带夹蒂、碎片，质量一般吧
256	0	第二次买了，茶叶口味很好，发货超快！
257	0	不错的茶叶，价格很合理，口感也挺好
258	0	很好
259	0	宝贝质量真的不错，和商场里的质量一样的，口感很好，真是物美价廉，老板人很好发货速度超快，包装也很好完全没有破损的，以后就选你家了，会推荐给朋友的，满分好评！ 好评
260	0	不错很好 买了很多次了
261	0	好，口味很好，价格亲民，你值得拥有。
262	0	发货速度快，拍下直接送给姑父的。
263	1	喝着不错，还送了杯子
264	1	茶叶有点碎，三泡以后没什么味，对起这个价。
265	1	茶枝偏多，应该在注明有茶枝，以为500多的应该没有枝都是茶叶！
266	0	还送了过年的对联，还有其他的礼品。
267	0	第三次买了，真的不错。耐泡口感清爽。
268	0	刚收到马上泡了一杯正在喝 传统的包装简单古朴 透着淡淡的茶叶的清香 送的青瓷杯子也特别喜欢 莹润小巧秀美可人 说下茶吧 汤色澄澈嫩绿清香适口回甘醇厚很好喝 客服白琳很不错 耐心细致 总之都很赞 我也是老顾客了 一直在这买茶叶 信任卢正浩
269	1	发货速度超级慢。没有货就不要卖，让客户等待十几天时间。
270	1	里面两罐子同个位置的字都被刻意刮掉了，貌似是个人名。送人好尴尬，醉了
271	0	好评，，客服白琳棒棒哒
272	1	茶梗较多，茶的香味不错，，龙井还是要厚重些，总体来说，价格还是稍高了一些的，要是优惠的幅度再大一些就更完美了。
273	0	不错，包装也很漂亮
274	0	可以 不错
275	0	可以
276	0	好评
277	0	口感不错，好评
278	0	一直喝卢正浩的茶叶，这次买了5大包。
279	0	一直喝他们家的茶叶，这次特意买来几盒送朋友，非常不错！
280	0	茶叶色泽很好 气味飘香四溢 是新茶叶 外包装传统很精美 好评 非常好
281	0	口粮茶叶，味道不错，雨前茶叶，价格实惠，性价比高：4月19日，5月10日2次聚划算的茶叶几乎一样，满意。
282	0	一分钱一分货，这个价位的还行吧。碎茶叶有点多
283	1	很淡 第二炮就美味到了
284	0	很不错，香气袭人。
285	0	不错
286	0	确实是用心，很少评价的，不错
287	0	很好，新茶，推荐购买
288	0	挺好的，物流神速
289	0	还不错
290	0	很好
291	0	茶叶收到，非常好，物超所值！全5分
292	0	第二次买 老爸说味道挺好 催着我再给他买 下次换别的种类
293	0	好
294	0	很好
295	0	给爸爸买的 还没喝 先给个好评！
296	0	味道纯.份量足.赞一个.
297	0	茶叶非常好。
298	0	茶叶政到，挺好。
299	0	老顾客了
300	0	好，礼品不错
301	0	聚划算买的，的确是物超所值
302	0	茶不错，挺好的，下次还会来
303	0	已经买了很多次不错
304	0	此茶卖相一般，但入口清冽，回味甘长，而且续4、5次水后仍有相当的茶味和香气，确为不错。
305	0	东西很好，还没品尝，送的杯子也不错
306	1	香气挺足，口感沒有特級的好喝，但回甘一點都不輸給特級的，只是感覺茶葉比較碎。總得來說性價比挺高，滿意。
307	0	还没喝不过味道很香
308	0	味道挺不错的，喝完还会再买的。
309	1	不怎么耐泡，第三次就没什么味了，包装很好，感觉还可以，茶偏绿，是不是表示很好的意思？不太懂，但比艺福堂的同等茶绿些。
310	0	人至诚茶至臻
311	1	老客户了，从14年就喝他家的龙井茶，可惜今年没有抢到免签赠送一袋的优惠，那也一次购买了两袋，再加上一袋老E包装和一罐明前的，够喝一阵子的了。希望卢正浩的龙井茶越做越好，给茶客们做出高质量、价格优惠的好茶。
312	0	老顾客，茶叶性价比很高。值得信赖的卖家。
313	1	茶叶不错，以后还会来的，比实体店要实惠的多！记得得送点小样
314	0	哈哈，不错，还抢到了前528单的茶叶
315	0	很好，非常好！！！！！！！
316	0	美中不足茶叶碎了点，快递稍慢，茶味栗香醇厚，茶碱丰富，茶色清亮，活动价买的非常划算，希望多搞活动，祝生意兴隆，好评
317	0	茶叶很好，以后再买希望更优惠
318	0	茶很香浓，喜欢
319	0	卖家不错，一分钱一分货，我己多次购买了，真的不错。给个赞！
320	0	蛮好的包装，还没喝，不知道味道如何，到时候再来评价
321	0	不错的茶叶
322	1	本人不会品茶 但我觉得很好
323	0	不错的宝贝，味道好，抗泡。双11很合适。 商家服务台的很好，物流也快。
324	0	不错啊看起来上档次
325	1	一分价钱一分货吧，不太好
326	0	茶叶外包装一看就是品牌店，结实的包装，实在，茶叶买了一个D包，一个E包，立即品尝一下二级西湖龙井，茶汤清澈，味道较为纯正，有豆香味，待喝点三级的再来评价。客服非常好，耐心解答，赞一个，送的杯子是薄胎的，大气。
327	1	一般吧，不是很好喝，要买就买d以上的
328	1	一如既往
329	0	很好喝的绿茶，不错
330	0	很好的茶叶，多次购买了。
331	0	物流很快，从杭州到北京2天就到了，赞一个，茶叶还没喝，但是看着还不错。这个价也值了。
332	0	宝贝一如即往的好。
333	0	第二次购买，这次是商家根据口感推荐的，刚刚收到货还没有品尝，先收货再说，茶叶口感等等品尝了再来留言！对了，商家还有心的送了一个杯子！
334	0	不太懂查，给老人买的，看着包装不错
335	0	谢谢送的礼物。
336	0	赠的杯子也行，天天用它泡茶呢，茶叶不错
337	0	不错，喜欢的口感！
338	0	茶是新茶，比年前相同档次的茶要好的多
339	0	买给爸爸的他特别满意，说味道很正，包装特别精美，他还以为我是花了大价钱，买的好值呢！卖家发货特别快，而且耐心回答问题， 给赞
340	1	茶叶看颜色真的不怎么样，但是喝起来味道真的还可以，好评！
341	0	品质一直很好，老顾客了
342	0	发货快，包装好，茶叶味浓香，价廉实惠，满意 不错
343	0	很划算
344	0	老顾客了！一如既往的好！一直信赖店家的茶叶！还会再来！
345	0	第二次买，东西不错。
346	0	不错哦
347	0	不错，一直买这家，品质如一。
348	0	聚划算买的，74，不贵。可以。
349	0	物超所值啊
350	0	不错，去年的茶，味道也不错。今年新茶，等不及了，先喝着吧
351	0	物流非常的给力啊！茶叶质量非常的好，是新鲜好茶叶哦！口感非常的好，家人都非常的喜欢喝呢！物超所值啊！
352	0	送人了，包装不错，还有赠品，赠品挺好
353	0	茶叶收到，喝着还可以比实体店同价位的强，还增了一个水杯，很满意
354	0	包装精美，运输无损坏，搞活动买的，应该不错吧！
355	0	很不错，送礼很赞
356	1	茶叶一般而已，，也只值这个价
357	1	不正宗，喝着一点香味都没有，没有我以前喝到的那种感觉，口感一点也不好
358	0	茶叶应该说还可以，只是物流太糟糕了
359	0	味道不错
360	0	不错
361	0	不错 服务很好，还有赠品
362	0	茶香四溢，味道甘甜，很好!
363	0	很好，买家很诚实，茶叶也很不错，无碎！已推荐给同事，包装有特色！
364	0	已收到，包装完美，蛮大气的，因为送人，还没试。
365	1	第二次买了，质量其实一般，不过也没有什么太多好的选择，就买这个吧
366	0	看包装和图片相符，没拆，不知道里面是否与介绍一样，等试了后再评
367	1	速度很快，茶叶还可以，感觉这茶太绿，没有金黄色，太贵了吧。没我其他淘宝买的好。也说不清楚。不怎么样吧！简直就是一般性的绿茶。吃亏了。
368	1	好像一般
369	0	味道不错，客服很耐心细致
370	0	多次购买卢正浩了，不多说，就是那么好喝，小茶人旗林的服务也超认真负责
371	0	试喝了两天才来评价的   是正品   很正宗  闻起来很香  回甘明显   客服态度很好 耐心推荐了很多款   还会来这家店买的  非常满意
372	0	老茶树的茶味道醇厚，喜欢味厚的朋友可以选择！这次没给杯子?
373	0	爸爸喜欢喝茶，说还不错。
374	0	一般了&hellip;&hellip;
375	0	茶香四溢，好茶，味道很好
376	1	碎，非常的碎，很多短小的茶梗，很不爽但是味道还可以，分量也够，茶杯盖子的皮子稍微有点味道，
377	0	新茶不苦，挺好的
378	0	送人的，没打开，不过豆香味挺浓的，好评！
379	0	味道一般般，卖家态度还挺好的
380	1	还有比这更垃圾的么 第一次买的碧螺春还可以  这个一点味没有  全是梗
381	0	茶叶很好，自己喝是一种享受，送礼也很有面子，比在实体店便宜太多了！ 服务很好，很专业
382	1	喝了几次，不知道长时间喝会不会伤胃，
383	0	不好意思，快递太多记混了评价晚了！一如既往老顾客就不多说了
384	0	挺好的
385	0	包装严实，外观还可以，还没试过不知口感如何。
386	0	真的很不错
387	0	包装很复古,味道不错,茶叶一股清香,闻了心情好好
388	0	茶叶不错 好评！
389	0	发货快~东西好~礼物也实惠~下次还要买~必须全5分~~
390	1	跟同事杭州带回的好几百的对比了一下，虽然回甘不是那么的浓烈，但这个价位也算可以了，确实有龙井的特色味道，口粮茶还行。赠的杯子也不错！以后会回购！
391	0	第三次买了
392	1	不错买的雨前一级给的明前特级，大赞?
393	1	很一般的茶叶
394	0	第一次在网上购茶叶，比市面上同等价的好，下次会再来。只是老板把杯子寄错了，有点小失望。
395	1	到家后打开包装，里面的盒子都烂掉了，根本无法送人，说实话，宝贝真的很让我失望，很少的像这么不成功，不值这么多钱啊，店家让我发照片，盒子都烂了，发照片有啥用，无法给好评，店家自己反省一下吧
396	1	有点碎
397	0	一般般，不过也算对的起这价格
398	0	茶叶收到了，感觉这价格买到的茶叶不错了。
399	0	打开包装，茶香四溢。泡几次，问到不错，口齿留香。
400	1	东西不
401	0	味道还不错
402	0	收到，茶叶的质量不错，味道甘醇有回味，值得购买。感谢客服白琳的热情服务，发货快，很满意。全5分好评 好
403	0	还行。
404	1	还没问爸爸，应该还好吧
405	1	茶叶已经买过几次了。喜欢西湖龙井，是好茶，物流暴力，多亏是茶叶，其他物品，后果不可想象!
406	1	还没拆包，基本满意吧
407	0	老顾客了，相信卢正浩。
408	0	包装精美，还没开始喝，不过看起来很好的样子呢
409	0	自己喝很不错
410	0	第三次购买了，非常好
411	1	感觉一般吧  茶梗多了些了
412	0	老顾客了，这包是给家里买的，虽然没尝到，我相信一如既往的好
413	1	因为以前买过了，所以看到商品就买了2包，没仔细看，以为送2罐，里面却说一个id只送1罐  太相信你们了，所以没仔细看清楚，没想到你们也弄这种玩法  下次不来买了
414	1	还可以，没有什么香味
415	0	好好好！ 好！
416	0	非常完美
417	0	茶叶品质很好，包装大气，谢谢客服旗灵耐心服务！
418	0	好货，跟图片上一样，味道好，发货及时 服务好
419	0	好评，还可以，下次买点特级的喝。
420	0	4月份聚划算期间购买性价比还不错，和茶农的同品质散茶价格差不多。老茶树加分。
421	0	宝贝收到口感很好味道很正还会光顾 服务很好
422	0	一如既往的好！
423	0	喜欢，一直在喝
424	0	茶色好，口感棒，老爹很喜欢
425	0	多次购买了，很不错。
426	1	送人了，给好评。
427	0	叶片粗犷，味飘豆香，也勉强就是雨前三级，不过这个价钱也就这么着了，毕竟一分钱一分货 发货还算及时
428	0	新茶，好喝，浓郁味道
429	0	大品牌果然就是不一样，包装的很结实，很注意细节，赠品雪瓷杯非常满意，最重要的还是产品的质量，真的有闻到那种很清香的豆香味，泡出来的茶汤清澈，浓醇滋味，下次还要买老茶树
430	0	爸爸一直喝他家的，不错
431	0	喝过后才评价 汤色纯正 入口回甘 味道醇香
432	0	很好已经第三次买了，朋友也说口感很好
433	0	不错，好喝又健康
434	0	一直买的是！味道很好！值得购买
435	0	挺好 毕竟是品牌
436	0	蛮好的，口味不错
437	1	送人的，等他品过了再评。
438	1	囤了好多茶，估计可以喝到来年开新茶，希望这茶喝起来很ok.
439	0	非常好喝
440	0	茶叶口感不错，应该是当年的新茶，家里人都很喜欢，真的是物美价廉，下次一定再买。。物流很快。总之很满意！
441	0	多次购买了，好评
442	0	苶叶还不错，性价比高，好评！
443	0	很好
444	0	还可以值得再次光临
445	0	茶叶味道不错~好评
446	0	茶叶很好！第一次喝，买了一斤！下次还会光顾！
447	0	茶叶很好，谢谢！
448	0	送人的，以前给老婆买过E包自己喝，支持
449	0	一如既往的好，双十一价格便宜多买些以后喝。
450	0	物流超快，不到48小时就到。赞！
451	0	包装好，还没喝，应该不错吧！
452	0	速度非常快，口感不错。
453	0	还好吧！杯子不错
454	0	还没尝，老顾客了，对店家的茶还是放心的。
455	0	性价比较高，口感还好
456	0	好茶，香，醇，美
457	0	茶收后，立即确认收货，老客户，满意，淡谈茶香，很喜欢
458	0	还不错，，茶味挺香，
459	1	碎叶，茶梗较多，一分钱一分货吧
460	0	老客户了，品质一如以往的好
461	0	一如既往的好
462	0	味道还可以，对得起这个价！
463	0	果断五星啊
